StudentID,Name,Gender,AttendanceRate,StudyHoursPerWeek,PreviousGrade,ExtracurricularActivities,ParentalSupport,FinalGrade,Study Hours,Attendance (%),Online Classes Taken
2035,Robert Lowery,Female,88,8,85,0,High,80,1.5,81,TRUE
6942,Brent Burns,Male,95,12,88,1,Medium,85,0.9,57,FALSE
2501,Melissa Barber,Male,91,15,78,1,High,68,3.9,63,TRUE
1258,Courtney Haas,Male,88,15,65,0,Low,87,3.7,80,FALSE
6931,Sarah Ross,Male,85,12,90,3,High,72,1.5,91,TRUE
8433,Jaime Nguyen,Female,90,20,70,3,Medium,78,4.4,76,FALSE
2099,Christina Thompson,Male,90,20,60,2,Low,90,4.1,85,TRUE
3535,Tracy Gibbs,Female,92,20,88,2,Medium,87,3.8,86,TRUE
3972,Robert Davis,Male,91,8,85,0,Low,80,0.5,83,TRUE
1861,James Stewart,Male,78,22,78,2,Medium,78,3.3,81,FALSE
7785,Brent Mendoza,Female,92,12,85,1,Medium,87,1.4,93,FALSE
9633,Dawn Taylor,Female,85,25,60,3,High,80,1,63,TRUE
5186,Larry Brown,Female,95,20,78,1,Low,62,0.9,74,TRUE
9196,Miss Teresa Hernandez MD,Female,90,8,78,0,High,78,4.6,70,FALSE
7626,Edward Baker,Female,88,20,60,1,Medium,68,4,89,FALSE
6928,Diana Gould,Male,70,20,90,0,Low,62,2.6,75,FALSE
6752,Paul Hull,Male,92,20,65,2,High,68,3,98,TRUE
3902,Allison Hamilton,Female,85,22,86,1,Low,88,3.2,89,FALSE
6179,John King,Male,85,20,77,1,Low,85,4,87,TRUE
9307,Connie Cooper,Female,85,22,70,1,Medium,88,3.3,70,FALSE
5059,Michaela Powell,Female,85,12,70,3,High,90,-5,200,FALSE
7697,Lawrence Roberts,Female,91,15,88,2,Medium,87,2.8,74,FALSE
5128,Nicholas Robinson DDS,Male,95,20,86,0,Medium,85,4.8,94,FALSE
3112,Jill Smith,Male,88,12,60,1,High,72,0.5,92,FALSE
9331,Michael Burns,Female,85,30,82,0,High,90,4.7,81,TRUE
4711,Adam Weaver,Male,78,20,82,2,Low,72,4.2,83,TRUE
6517,Melvin Mcgee,Male,91,8,65,0,High,88,4,60,FALSE
1715,William Banks,Female,95,25,77,3,Medium,78,1.2,65,FALSE
5670,Gregory Davila,Male,78,18,77,2,High,62,0.5,64,FALSE
6727,Rebekah Finley,Male,70,15,60,2,Medium,92,1.9,55,FALSE
4678,Robert Martinez,Male,95,20,88,0,High,80,1.4,80,TRUE
8685,Steven Crawford,Female,91,15,85,1,Medium,92,4.2,85,FALSE
2029,George Cannon,Male,85,22,70,1,Low,72,2.9,95,TRUE
9576,Stephanie Lawrence,Female,90,12,70,2,Low,72,0.1,80,TRUE
6447,Adam Blackwell,Male,85,30,70,1,Low,68,4.2,93,FALSE
8840,Andrew Owens,Male,78,20,77,1,Medium,92,0.2,62,TRUE
4060,Leon Nguyen,Female,85,30,70,2,High,62,0.4,88,TRUE
9937,John White,Female,95,20,85,1,Low,85,1.5,88,FALSE
3730,Justin Martinez,Female,95,17,78,1,Low,62,1.4,100,TRUE
3068,Jacob Murray,Male,92,30,88,0,Low,80,3,93,FALSE
7077,Anthony Green,Female,85,20,86,0,Low,90,2,91,FALSE
8311,Michael Smith,Male,91,18,77,3,High,68,4.3,78,TRUE
8292,William Hogan,Male,95,30,85,2,Low,85,4.5,60,TRUE
3114,Keith Wu,Female,82,15,85,2,High,85,0.8,70,TRUE
9234,Ronald Stewart,Male,91,22,65,0,Low,88,3.6,88,FALSE
1674,Ronald Schmidt,Male,90,15,86,2,Low,92,3.8,76,TRUE
9159,Courtney Bradley,Female,88,17,90,0,Medium,78,0.4,53,TRUE
8202,Deanna Gonzalez,Female,85,17,90,1,Low,68,1.6,95,FALSE
6658,Darrell Adams,Female,78,30,70,2,High,90,1.2,57,FALSE
5681,Jill Williams,Male,90,8,65,2,Low,90,3.8,73,TRUE
7563,Julia Russell,Male,91,12,90,1,Low,85,0.4,82,FALSE
4261,Tonya Thompson,Female,82,15,78,1,High,90,4,83,FALSE
1436,Elizabeth Andersen,Female,88,22,86,3,Low,80,2.9,60,FALSE
3421,Jeffrey Meyers,Male,85,22,85,3,High,78,1.6,59,FALSE
4340,Christopher Jones,Female,82,22,77,1,Low,68,2.6,85,FALSE
8932,Alexis Bates,Male,92,18,70,2,High,85,3.9,95,TRUE
7464,Omar Gonzalez,Female,78,18,78,2,Low,87,1.7,78,FALSE
8849,Melissa Perry,Male,92,12,82,2,Low,85,0.7,89,TRUE
4972,Dawn Torres,Male,82,25,90,1,High,62,1.7,80,TRUE
5676,Anna Rollins MD,Male,90,22,90,2,Low,80,4.6,61,FALSE
6489,Susan Morris,Female,85,12,70,1,High,72,2.3,62,TRUE
3875,Kristy Rhodes,Female,70,12,88,2,Medium,87,0.9,58,FALSE
2923,Paul Hickman,Male,95,22,90,3,High,78,0.8,97,FALSE
7813,Mrs. Kathy Woodward,Female,82,25,90,3,High,72,2.2,95,FALSE
2279,Alexis Horn,Male,85,12,70,3,Low,72,0.7,70,FALSE
2904,Shannon Harris DDS,Male,91,17,85,2,Medium,80,2.3,82,FALSE
8484,Alicia Ortiz,Male,82,17,82,1,Medium,85,-5,200,TRUE
1372,Gina Palmer,Female,85,12,60,2,Medium,92,1.2,72,TRUE
8314,David Anderson,Male,92,15,60,1,High,72,1.1,99,TRUE
7775,Jose Liu,Male,88,15,70,3,Low,68,3.1,77,FALSE
4948,Kathy Sandoval,Male,88,10,77,1,Low,62,4.8,85,TRUE
7363,Michael Webb,Male,88,25,88,2,Medium,90,0.5,96,TRUE
1844,Ronnie Taylor,Female,70,22,86,1,High,92,4,87,TRUE
8854,Matthew Miller,Male,95,18,78,3,High,87,3.7,98,FALSE
4974,Shelly Hurley,Male,70,25,70,1,Medium,62,2.3,91,FALSE
6053,Mr. Martin Dominguez MD,Female,95,12,77,1,High,78,3.8,70,TRUE
5836,Anthony Smith,Male,92,30,90,0,Low,92,2.5,91,FALSE
5216,John Lopez,Female,85,17,65,1,High,68,3.6,81,TRUE
9882,Nathan Rodgers,Male,82,15,85,1,High,62,0.7,90,TRUE
2113,Martin Walker,Male,85,25,70,1,Medium,80,3.1,92,FALSE
8993,Jesus Wood,Male,85,12,70,0,High,80,2.6,67,FALSE
1280,Kelly Bell,Female,78,20,85,2,High,92,1,83,FALSE
6807,Kathryn Randall,Female,70,20,88,0,Medium,88,1.2,94,TRUE
5914,Sarah Norris,Male,85,20,60,0,Medium,72,2.4,90,TRUE
8790,William Wade,Female,85,20,82,2,Low,80,0.9,70,TRUE
7288,Teresa Sanders,Male,90,12,88,1,High,62,1.2,54,FALSE
7499,Richard Oneal,Female,85,18,77,1,High,90,2.8,74,FALSE
4043,Christine Cooper,Female,90,22,82,3,Low,87,0.4,59,FALSE
2674,Loretta Gonzalez,Male,90,10,60,1,Low,72,2.6,56,TRUE
2468,Douglas Ingram,Female,82,20,86,3,Medium,62,0.1,76,FALSE
2387,Randy Anderson,Male,91,12,65,0,High,68,1.3,67,FALSE
3390,Donna Shaw,Male,78,8,82,0,Medium,78,3.9,73,FALSE
7224,Taylor Acosta,Female,85,30,60,3,High,85,1.6,94,TRUE
8848,Danielle Scott,Female,78,8,88,2,Low,78,4.8,100,TRUE
5139,Kimberly Lambert,Male,70,8,85,1,Low,78,2.9,84,FALSE
9907,Rebecca Mendoza DDS,Male,95,12,86,2,High,92,3.3,72,TRUE
1725,Michael Anderson,Female,95,8,85,1,High,85,1.1,97,TRUE
8303,Hannah Gentry,Female,70,17,86,2,High,90,5,80,TRUE
5840,Patrick Reed,Female,90,20,65,1,Medium,90,2.3,63,FALSE
1370,Thomas Lee,Female,90,10,90,2,High,72,0.8,85,FALSE
8037,Michael Martinez,Female,85,25,90,2,Low,87,2.9,84,TRUE
7367,Sean Hull,Female,91,20,88,1,Medium,88,0.9,93,FALSE
2388,Sarah Welch,Male,95,20,90,2,High,68,1.9,59,FALSE
7852,Mr. Stephen Gilmore,Male,91,8,60,0,Medium,72,3.5,91,TRUE
8939,Joshua Kane,Male,92,8,70,2,Low,78,2,81,FALSE
8272,Anthony Wright,Female,78,20,86,1,High,85,0.2,64,FALSE
3755,Nathaniel Lopez,Female,91,17,70,2,High,88,0.6,99,FALSE
5305,Christopher Moore,Female,90,17,85,3,High,88,3.4,95,FALSE
1971,Michael Gomez,Female,78,10,90,0,Low,90,4.1,98,FALSE
9019,Caleb Serrano,Male,91,18,60,0,Medium,87,3.2,99,TRUE
7600,William Carlson,Female,95,17,77,1,Low,80,4.3,96,TRUE
8511,Timothy Pruitt,Female,90,12,60,3,Medium,92,2.5,70,FALSE
6533,Mario Johnston,Male,91,17,88,1,High,87,3.1,79,TRUE
5489,Joyce Williams,Male,95,18,85,1,Low,68,0.3,90,FALSE
3688,Patricia Williams,Female,95,25,65,0,Low,78,4.3,55,TRUE
3293,Michael Payne,Male,91,8,88,0,Medium,68,1.2,91,TRUE
5065,Brooke Friedman,Female,85,18,90,2,Low,72,0.9,75,FALSE
1894,Daniel Mathis,Male,85,8,85,3,Medium,88,0.4,50,FALSE
6185,Lynn Jennings,Female,70,22,60,1,Low,68,3.8,99,TRUE
1273,Kimberly Randolph,Male,85,18,90,1,High,62,2.5,90,FALSE
7939,Jack Simmons,Female,90,12,70,3,High,85,0.4,55,TRUE
3545,Daniel Mendez,Female,70,22,85,2,Low,62,3.6,65,TRUE
3735,Shawn Galloway,Female,78,18,85,1,Medium,62,1.4,54,FALSE
2262,Thomas Barnes,Female,85,12,88,1,Medium,88,0.8,60,FALSE
5444,Patrick Thompson,Male,91,30,85,2,Low,80,0.9,83,TRUE
7568,Marissa Stewart,Male,85,18,82,1,High,72,2.3,73,TRUE
5777,Melissa Wilson,Female,91,25,77,1,Low,78,5,99,TRUE
6488,Mark Castillo,Male,70,18,85,3,Low,92,2.1,53,TRUE
5584,Mr. Kent Stanton,Male,85,25,70,0,Low,90,2.3,97,TRUE
2565,Tyrone Phillips,Male,70,20,86,3,High,62,3.3,58,TRUE
5778,Christopher Collins,Female,95,8,88,1,Medium,85,1.2,62,TRUE
8404,Christopher Mccullough,Female,85,18,85,2,High,85,4.1,94,TRUE
4522,Carla Rodriguez,Female,78,20,90,1,Medium,72,0.2,69,FALSE
3848,Makayla Howard,Male,70,17,70,2,High,87,2.3,100,TRUE
2989,Barbara White,Male,85,25,65,3,Medium,90,3.4,91,TRUE
1699,Cody Donovan,Female,85,10,86,0,Low,62,2.5,74,FALSE
5835,Benjamin Alexander,Female,70,12,77,1,High,85,1.9,76,TRUE
9614,Isaac Lopez,Male,82,15,60,1,Medium,72,3.9,72,FALSE
7363,Ariana Morse,Female,78,15,88,3,High,80,4.5,99,FALSE
1462,Derek Choi,Female,91,22,65,3,High,78,2.7,61,FALSE
1621,Paul Reese,Male,85,25,86,3,High,72,2.4,71,TRUE
3137,Francisco Chang,Female,78,30,78,1,High,88,3.5,59,TRUE
8157,Andrew Wilkerson,Female,95,10,70,3,Medium,92,3.3,61,FALSE
6026,Brandon Alvarez,Female,78,10,78,3,Medium,88,0.2,88,FALSE
4619,Gary Young,Male,85,10,88,2,High,90,4.9,60,TRUE
6500,Jessica Wright,Female,85,18,90,3,Low,87,1.8,100,TRUE
2661,Alexander Gordon DDS,Female,91,25,65,1,High,80,1.5,70,FALSE
2715,James Martinez,Male,95,10,60,0,Low,87,2.7,55,FALSE
8909,Francisco Williams,Male,70,10,86,0,High,80,0.5,63,TRUE
7705,Jordan Brooks,Female,88,18,90,2,High,62,2.9,81,TRUE
1893,Kurt Boyd,Female,85,8,85,2,Low,88,2.4,56,TRUE
4390,Bryan Salazar,Male,88,20,77,2,Medium,62,2.4,92,FALSE
2493,Mrs. Heather Roy,Female,78,30,60,1,High,78,0.2,78,FALSE
4727,Kathleen Newton,Male,70,12,60,2,Low,78,2.9,65,FALSE
5896,Julian Fox,Male,70,15,70,3,Low,88,3.4,89,TRUE
2970,Kylie Hancock,Female,78,10,90,3,High,80,2.1,93,FALSE
4308,Matthew Werner,Male,91,18,88,2,High,62,2.8,85,FALSE
5525,Kelsey Bush,Female,85,22,86,2,Medium,87,2.1,59,TRUE
2730,Brandon Dickerson,Male,88,12,88,0,Medium,62,3.3,86,FALSE
1613,Jamie Allen,Male,88,8,65,3,Low,62,0.2,71,TRUE
4734,Elizabeth Chavez,Male,88,17,88,2,Low,62,3,55,TRUE
8237,Melissa Morris,Male,70,17,70,1,High,72,4,54,FALSE
9303,Donna Hardin,Female,78,12,86,1,High,92,4.4,62,TRUE
6640,Samuel Shaw,Male,88,20,82,1,Medium,80,0.8,86,TRUE
4626,Mike Waters,Male,92,18,60,2,High,80,2.4,58,TRUE
1138,Andrea Newman,Female,88,22,82,2,Medium,62,4.3,79,FALSE
4086,Laurie Johnson,Male,82,25,78,3,Medium,90,3.4,96,TRUE
9148,John Coleman,Female,88,8,60,0,Low,80,2.9,86,TRUE
6622,John Carter,Male,82,17,88,2,Medium,68,4.2,85,TRUE
5813,Mr. Devon Garrett,Male,85,10,82,2,High,90,3.3,64,FALSE
1879,Richard Gonzalez,Male,85,25,70,2,Low,62,2.6,76,TRUE
3470,Alex White,Male,92,30,60,3,Medium,68,1.6,95,TRUE
2324,Michael Gonzales,Female,95,10,88,1,High,78,1.4,98,TRUE
1076,Daniel Herrera,Male,82,25,88,1,Medium,72,1,93,TRUE
6615,Heidi Simmons,Female,95,25,65,0,High,92,1.1,58,TRUE
1359,Andrea Fuller,Male,90,30,78,0,Low,85,3.9,89,TRUE
1785,David Dunlap,Male,85,15,85,0,Medium,62,0.6,66,FALSE
3508,Antonio Mitchell,Male,85,18,60,2,Low,72,1.3,88,TRUE
7862,Mariah Cole,Male,82,22,85,2,High,87,2.5,88,TRUE
6416,Raymond Murillo,Male,85,15,85,2,Low,78,-5,200,TRUE
2659,Andrea Bradley,Female,92,17,82,2,Medium,80,0.5,61,TRUE
2699,Eric Scott,Female,91,17,86,1,High,88,1.9,72,TRUE
6664,Robin Spears,Female,78,12,86,1,High,68,2.5,80,FALSE
3709,David Owens,Male,85,30,90,1,Medium,80,2.5,85,FALSE
6952,Sarah Bailey,Female,90,20,90,1,Medium,90,4.1,68,FALSE
2741,Kendra Ramirez,Male,78,17,65,0,High,85,3.1,62,TRUE
7437,Diane Ross,Male,85,25,88,2,Medium,80,4.6,93,TRUE
8381,Stephanie Mcfarland,Female,91,12,65,1,High,72,3.7,85,FALSE
8912,Michelle Woods,Male,91,10,65,2,Medium,88,3,70,FALSE
7859,David Ruiz,Male,88,8,88,2,Medium,68,0.7,88,FALSE
6876,David Park,Female,90,22,70,3,Low,72,1.9,82,FALSE
1769,Christopher Poole,Female,70,8,88,2,High,80,3.7,62,FALSE
4063,Virginia Daniel,Male,82,20,60,1,Medium,85,2.8,58,TRUE
9037,Brett Barrett,Female,90,30,70,3,High,72,0.3,82,TRUE
9691,Haley Robertson,Female,82,15,85,1,Medium,92,4.5,89,TRUE
1653,Michelle Gonzalez,Female,70,20,60,2,Low,85,0.1,83,FALSE
9814,Felicia Howard,Male,90,25,90,0,High,92,2.7,94,FALSE
2181,Sean Walker,Male,85,17,88,1,High,87,0.3,100,FALSE
2154,Brianna Mills,Male,88,8,60,1,Low,62,2.2,51,FALSE
2938,Michael Case,Male,91,20,86,1,Low,87,1.8,82,TRUE
5748,Felicia Houston,Female,91,20,82,1,Medium,62,4.1,51,FALSE
3561,Kevin Wilson,Male,78,8,70,2,Low,68,1.5,100,FALSE
2877,Maurice Martinez,Male,91,15,70,1,Low,72,0.4,92,TRUE
5107,Jonathon Perry,Male,92,22,77,1,Medium,68,3.4,65,TRUE
5533,Paul Williams,Female,78,30,77,1,Medium,90,3.9,81,TRUE
3879,Tyler Boyer,Male,88,10,70,3,Medium,87,3.6,51,TRUE
7637,Kristy Nichols,Male,85,12,82,2,Low,78,3.3,59,FALSE
7430,Darren Martin,Male,91,18,65,1,Low,72,0.5,73,TRUE
9485,Jesus Henson,Female,70,17,77,1,High,90,0.5,83,FALSE
5314,Robin Stewart,Male,70,8,88,3,Low,87,2.6,74,TRUE
3713,Ronnie White,Male,90,12,82,3,High,68,0.8,88,TRUE
4773,John Fox,Female,95,20,77,1,Medium,92,3,91,FALSE
1916,Daniel Scott,Male,88,10,70,0,Low,88,3.2,96,FALSE
9706,Tiffany Moore,Male,90,17,65,3,Low,80,4.5,99,FALSE
9553,Sylvia Chavez,Female,95,15,70,0,High,78,3.9,74,FALSE
5223,Ashlee Wilcox,Male,85,15,86,2,High,72,0,91,TRUE
6175,Lance Johnson,Female,95,20,65,0,Low,88,1.3,84,FALSE
2642,Patrick Gonzalez MD,Male,82,8,88,2,Low,80,0.8,90,TRUE
2492,Cole Gomez,Male,85,22,60,2,High,85,1.1,55,TRUE
7296,Alejandro Gutierrez,Female,91,12,82,3,High,68,3.2,78,TRUE
4304,Natalie Long,Female,92,15,86,2,Low,92,3.1,93,TRUE
6893,Abigail Ingram,Male,85,10,85,2,Medium,90,3.3,75,TRUE
9482,Eileen Lee,Male,90,20,70,2,Low,72,4.6,72,FALSE
5530,Nancy Moore,Female,91,25,77,0,Low,80,1.3,76,TRUE
2185,Melanie Wilson,Female,95,20,70,2,Low,88,1.3,78,FALSE
4610,Christopher Payne,Male,95,8,88,2,Low,80,3.5,66,TRUE
5706,John Franklin,Male,70,30,85,2,High,78,1.6,63,FALSE
3994,Angel Stout,Male,85,25,90,3,Medium,92,1.1,65,FALSE
1887,Zachary Daniel,Female,85,12,78,2,Medium,62,4.3,99,TRUE
8490,Angel Howard,Male,82,17,88,1,High,92,1.9,56,FALSE
4013,Heather Gamble,Female,70,25,60,1,Medium,62,1.4,61,TRUE
4744,Sean Levine,Male,88,25,70,0,Medium,92,0.7,97,TRUE
8749,Brian Diaz,Male,78,8,77,0,Low,72,2.7,70,FALSE
5915,Catherine Koch,Female,82,22,78,0,High,68,0.3,66,FALSE
5663,Mary Warren,Female,95,12,77,1,High,62,3.1,79,TRUE
3745,Amanda Bryant,Female,70,22,86,0,High,87,0.8,64,FALSE
6191,Joel Ford,Female,88,22,60,2,Medium,90,3.7,83,FALSE
7782,Mark Miller,Male,78,15,65,3,Low,85,4.7,94,TRUE
4450,Sarah Russell,Female,70,20,85,2,Medium,72,0.3,99,FALSE
9584,Lisa Mitchell,Male,90,18,86,0,High,62,1.5,65,FALSE
8260,William White,Male,78,12,65,1,High,90,4.3,70,FALSE
9576,Elizabeth Wright,Female,95,17,70,3,High,78,1.5,76,FALSE
3551,Pamela Woods,Female,85,15,70,0,Medium,85,2.3,50,FALSE
8816,Sydney Patterson,Female,85,8,82,3,High,80,2.7,62,FALSE
8161,Lisa Johnson,Female,92,10,60,0,High,85,0.4,90,TRUE
9464,Todd Jackson,Female,88,12,82,0,High,87,0.9,68,TRUE
8460,Shelby Richards,Female,88,22,77,3,Medium,80,0.8,84,TRUE
4046,Joseph Roberts,Male,88,18,65,1,Low,80,1.2,59,TRUE
9086,Samantha Burton,Male,95,8,82,1,Medium,78,3.5,52,FALSE
2314,Cynthia Mcdonald,Male,85,18,60,2,Low,78,0.9,66,FALSE
1206,Kimberly Petty,Male,92,8,77,3,Low,80,1,97,TRUE
9538,Joshua Carpenter,Male,85,8,82,1,High,80,3.7,85,TRUE
5150,Jessica Fuller,Female,88,25,88,1,Low,92,4.9,65,FALSE
6316,Andrea Barber,Male,78,18,86,2,Medium,92,0,52,FALSE
3539,Brian Lyons,Female,90,25,65,1,High,88,1.7,98,TRUE
8187,Robert Taylor,Male,85,8,88,0,Medium,80,2.4,78,FALSE
2128,Steven Myers,Male,85,18,82,2,Medium,78,0,90,FALSE
4039,Cassandra Perez,Male,91,30,86,3,Medium,87,3.3,84,FALSE
7366,Amy Fisher,Female,82,22,86,2,High,90,1.1,95,TRUE
1214,Stephanie Reid,Male,85,20,77,1,Medium,72,3.7,76,FALSE
4784,Christina Russo,Female,92,25,70,3,Low,68,2.8,85,FALSE
2728,Raymond Howell,Female,85,8,85,0,High,72,2,71,TRUE
9747,Angela Perez,Female,95,30,70,1,Medium,62,3.8,77,FALSE
5521,Ronald Davis,Male,90,15,77,1,High,68,1.3,87,TRUE
4817,Melissa Lucas,Female,88,20,86,0,Low,92,3.7,96,FALSE
8905,Heidi Leonard,Male,85,22,85,3,Low,85,0.2,86,FALSE
7266,Richard Swanson,Male,88,12,78,1,Low,88,0.7,82,TRUE
3509,Lauren Simpson,Male,70,17,86,3,Low,87,1.1,68,FALSE
7529,Marissa Raymond,Female,78,10,77,2,High,78,2,86,TRUE
7939,Michael Kelly,Female,95,25,88,1,Low,80,3.8,60,FALSE
8245,Peggy Hill,Male,85,15,90,3,Low,90,0.8,96,TRUE
8373,Laura Stevens,Female,85,30,90,2,High,92,2.7,98,FALSE
9991,Terri Potter,Female,91,10,78,0,Low,72,0.2,60,TRUE
5653,Veronica Saunders,Male,91,18,78,1,Low,80,0.3,92,FALSE
6465,Jennifer Dickson,Female,70,10,78,1,Low,90,1.8,69,TRUE
9212,Alexa West,Female,85,18,60,1,Low,85,1.1,71,FALSE
3248,Phillip Donovan,Male,70,12,86,3,Medium,92,2.9,77,FALSE
6395,Monique King,Female,82,10,90,0,Low,72,3.4,62,TRUE
4804,Nathan Wall,Male,85,30,85,1,High,72,4.2,80,FALSE
4014,Kristin Macias,Female,85,17,65,0,High,92,0.2,98,TRUE
9530,Bradley Stevens,Male,85,17,78,3,Low,72,2,97,TRUE
7347,Morgan Hampton,Male,92,18,77,0,Medium,85,2.3,77,FALSE
